"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"ZASTAVA", "JUGO", "MB3914N", "VX1145A0000915237", "NAVADEN - BELA", "29.08.2005"
"TOMOS", "A 5 1 A", "MBC3475", "812577", "NAVADEN - RDEČA", "29.08.2005"
"RENAULT", "MEGANE", "LJT152U", "VF1BA0F0G16481666", "KOVINSKI - ZELENA", "26.08.2005"
"CRESCI", "", "U278LJ", "ZDK00PA2000028190", "", "26.08.2005"
"PIAGGIO", "", "LJK5785", "ZAPC3200001007239", "NAVADEN - MODRA", "26.08.2005"
"RENAULT", "MEGANE", "LJ820RY", "VF1BMRG0632736252", "NAVADEN - SIVA", "26.08.2005"
"YAMAHA", "SPY", "KRA2568", "45D505486", "", "26.08.2005"
"RENAULT", "LAGUNA", "KKE3415", "VF1KG0G0626716526", "KOVINSKI - SIVA", "24.08.2005"
"RENAULT", "", "LJY993A", "VF1FDBED523191152", "NAVADEN - BELA", "23.08.2005"
"TOMOS", "", "MBA4446", "ZZ1A6GBAP00416620", "NAVADEN - RUMENA", "23.08.2005"
"ZASTAVA", "619", "", "B040406", "NAVADEN - ZELENA", "23.08.2005"
"ŠKODA", "OCTAVIA", "LJX656Y", "TMBBP21U7Y2346676", "", "22.08.2005"
"KTM", "495", "", "VBKRCA4064M379551", "", "22.08.2005"
"FORD", "ESCORT", "LJ177M", "WF0AXXGCAANL83898", "NAVADEN - RDEČA", "22.08.2005"
"KYMCO", "SF 10 COBRA RACING", "LJA4903", "RFBS101003BX00875", "NAVADEN - MODRA", "22.08.2005"
"UNIS", "GOLF", "LJU520A", "WVWZZZ1GZKW657163", "NAVADEN - RDEČA", "22.08.2005"
"HONDA", "", "CEU793", "ZDCPC39C04F011344", "KOVINSKI - MODRA", "19.08.2005"
"ŠKODA", "FAVORIT", "NM2160L", "TMBAEA200M0429976", "", "19.08.2005"
"ŠKODA", "", "TMBDEA200N50", "TMBDEA200N5007324", "NAVADEN - MODRA", "19.08.2005"
"VOLKSWAGEN", "PASSAT", "LJT095V", "WVWZZZ3BZWE428795", "NAVADEN - BELA", "18.08.2005"
"VOLKSWAGEN", "GOLF", "LJ3253Y", "WVWZZZ1JZXW712068", "", "18.08.2005"
"TPV", "", "R925LJ", "ZY21B132513000553", "", "18.08.2005"
"VOLKSWAGEN", "GOLF", "LJ583MN", "WVWZZZ1HZSW255691", "", "18.08.2005"
"MBK", "", "CEA2936", "VG55BR00001651024", "NAVADEN - SIVA", "18.08.2005"
"PIAGGIO", "TYPHOON 50", "CEA2127", "TEC1T0277424", "NAVADEN - RDEČA", "17.08.2005"
"BERGISCHE", "", "S626LJ", "S289508901", "NAVADEN - SIVA", "17.08.2005"
"FIAT", "DUCATO 2.8", "LJX0644", "ZFA23000005715909", "", "17.08.2005"
"HONDA", "", "LJ621F", "JH2PC35F22M301148", "", "17.08.2005"
"VOLKSWAGEN", "GOLF", "CE2050S", "WVWZZZ1JZYD409378", "NAVADEN - BELA", "16.08.2005"
"VOLKSWAGEN", "GOLF", "NMA3381", "WVWZZZ1JZ3B019056", "KOVINSKI - ČRNA", "16.08.2005"
"KTM", "", "KPM105", "VBKRCA4065M398697", "", "16.08.2005"
"VOLKSWAGEN", "POLO", "LJY594N", "WVWZZZ9NZ4Y182541", "NAVADEN - ČRNA", "16.08.2005"
"TOYOTA", "AVENSIS", "LJD7680", "SB1EW56L60E011711", "KOVINSKI - ZELENA", "16.08.2005"
"TOYOTA", "AVENSIS", "LJD7680", "SB1EW56L60E011711", "KOVINSKI - ZELENA", "16.08.2005"
"TOMOS", "APN 6 S", "NEREGIST", "444242", "NAVADEN - MODRA", "16.08.2005"
"TOMOS", "APN 6", "MBE4410", "468353", "", "13.08.2005"
"GILERA", "RUNNER 125", "KPA681", "ZAPM0700003001550", "", "12.08.2005"
"FIAT", "PUNTO", "LJ7522R", "ZFA17600005005786", "KOVINSKI - ZELENA", "12.08.2005"
"PEUGEOT", "SPEEDFIGHT", "CEA2776", "VGAS1BBBA00201866", "SREBRNA", "12.08.2005"
